Loading data...
Dataset size: 25979, Train DL size: 20784, Test DL size: 5195
Finished loading data!
Training model...
Epoch [190/1000], Loss: 0.7776, Train error: 0.2788, Test error: 0.2691
Epoch [191/1000], Loss: 0.8100, Train error: 0.2788, Test error: 0.2691
Epoch [192/1000], Loss: 0.7794, Train error: 0.2787, Test error: 0.2691
Epoch [193/1000], Loss: 0.7917, Train error: 0.2787, Test error: 0.2691
Epoch [194/1000], Loss: 0.8176, Train error: 0.2787, Test error: 0.2689
Epoch [195/1000], Loss: 0.8119, Train error: 0.2787, Test error: 0.2689
Epoch [196/1000], Loss: 0.7959, Train error: 0.2786, Test error: 0.2687
Epoch [197/1000], Loss: 0.8057, Train error: 0.2787, Test error: 0.2687
Epoch [198/1000], Loss: 0.7811, Train error: 0.2786, Test error: 0.2687
Epoch [199/1000], Loss: 0.8116, Train error: 0.2786, Test error: 0.2687
Epoch [200/1000], Loss: 0.7499, Train error: 0.2786, Test error: 0.2687
Epoch [201/1000], Loss: 0.7947, Train error: 0.2785, Test error: 0.2689
Epoch [202/1000], Loss: 0.7591, Train error: 0.2785, Test error: 0.2689
Epoch [203/1000], Loss: 0.7766, Train error: 0.2786, Test error: 0.2689
Epoch [204/1000], Loss: 0.7796, Train error: 0.2785, Test error: 0.2689
Epoch [205/1000], Loss: 0.7731, Train error: 0.2784, Test error: 0.2689
Epoch [206/1000], Loss: 0.8173, Train error: 0.2785, Test error: 0.2691
Epoch [207/1000], Loss: 0.8067, Train error: 0.2785, Test error: 0.2691
Epoch [208/1000], Loss: 0.8006, Train error: 0.2785, Test error: 0.2691
Epoch [209/1000], Loss: 0.7768, Train error: 0.2786, Test error: 0.2691
Epoch [210/1000], Loss: 0.8109, Train error: 0.2786, Test error: 0.2691
Epoch [211/1000], Loss: 0.7931, Train error: 0.2785, Test error: 0.2691
Epoch [212/1000], Loss: 0.7763, Train error: 0.2786, Test error: 0.2691
Epoch [213/1000], Loss: 0.7613, Train error: 0.2786, Test error: 0.2691
Epoch [214/1000], Loss: 0.7896, Train error: 0.2786, Test error: 0.2691
Epoch [215/1000], Loss: 0.8029, Train error: 0.2786, Test error: 0.2689
Epoch [216/1000], Loss: 0.7926, Train error: 0.2785, Test error: 0.2689
Epoch [217/1000], Loss: 0.7716, Train error: 0.2785, Test error: 0.2687
Epoch [218/1000], Loss: 0.7966, Train error: 0.2784, Test error: 0.2685
Epoch [219/1000], Loss: 0.8213, Train error: 0.2785, Test error: 0.2685
Epoch [220/1000], Loss: 0.7699, Train error: 0.2785, Test error: 0.2685
Epoch [221/1000], Loss: 0.7990, Train error: 0.2786, Test error: 0.2685
Epoch [222/1000], Loss: 0.7987, Train error: 0.2786, Test error: 0.2685
Epoch [223/1000], Loss: 0.8093, Train error: 0.2785, Test error: 0.2685
Epoch [224/1000], Loss: 0.7602, Train error: 0.2785, Test error: 0.2685
Epoch [225/1000], Loss: 0.7779, Train error: 0.2785, Test error: 0.2685
Epoch [226/1000], Loss: 0.7686, Train error: 0.2785, Test error: 0.2685
Epoch [227/1000], Loss: 0.8091, Train error: 0.2785, Test error: 0.2685
Epoch [228/1000], Loss: 0.7724, Train error: 0.2785, Test error: 0.2685
Epoch [229/1000], Loss: 0.7865, Train error: 0.2785, Test error: 0.2685
Epoch [230/1000], Loss: 0.8423, Train error: 0.2786, Test error: 0.2685
Epoch [231/1000], Loss: 0.8230, Train error: 0.2786, Test error: 0.2685
Epoch [232/1000], Loss: 0.8051, Train error: 0.2786, Test error: 0.2685
Epoch [233/1000], Loss: 0.7517, Train error: 0.2785, Test error: 0.2685
Epoch [234/1000], Loss: 0.7806, Train error: 0.2785, Test error: 0.2685
Epoch [235/1000], Loss: 0.8234, Train error: 0.2785, Test error: 0.2685
Epoch [236/1000], Loss: 0.7700, Train error: 0.2786, Test error: 0.2685
Epoch [237/1000], Loss: 0.7603, Train error: 0.2786, Test error: 0.2685
Epoch [238/1000], Loss: 0.7850, Train error: 0.2786, Test error: 0.2685
Epoch [239/1000], Loss: 0.8013, Train error: 0.2786, Test error: 0.2685
Epoch [240/1000], Loss: 0.8210, Train error: 0.2786, Test error: 0.2685
Epoch [241/1000], Loss: 0.7866, Train error: 0.2786, Test error: 0.2685
Epoch [242/1000], Loss: 0.7877, Train error: 0.2786, Test error: 0.2685
Epoch [243/1000], Loss: 0.8164, Train error: 0.2787, Test error: 0.2685
Epoch [244/1000], Loss: 0.7768, Train error: 0.2787, Test error: 0.2685
Epoch [245/1000], Loss: 0.7723, Train error: 0.2787, Test error: 0.2685
Epoch [246/1000], Loss: 0.7914, Train error: 0.2788, Test error: 0.2687
Epoch [247/1000], Loss: 0.7772, Train error: 0.2788, Test error: 0.2687
Epoch [248/1000], Loss: 0.7985, Train error: 0.2788, Test error: 0.2687
Epoch [249/1000], Loss: 0.7973, Train error: 0.2788, Test error: 0.2687
Epoch [250/1000], Loss: 0.8029, Train error: 0.2788, Test error: 0.2687
Epoch [251/1000], Loss: 0.7751, Train error: 0.2788, Test error: 0.2689
Epoch [252/1000], Loss: 0.7564, Train error: 0.2788, Test error: 0.2689
Epoch [253/1000], Loss: 0.7665, Train error: 0.2788, Test error: 0.2689
Epoch [254/1000], Loss: 0.7855, Train error: 0.2788, Test error: 0.2689
Epoch [255/1000], Loss: 0.7818, Train error: 0.2788, Test error: 0.2689
Epoch [256/1000], Loss: 0.8110, Train error: 0.2788, Test error: 0.2689
Epoch [257/1000], Loss: 0.7819, Train error: 0.2788, Test error: 0.2689
Epoch [258/1000], Loss: 0.7594, Train error: 0.2788, Test error: 0.2689
Epoch [259/1000], Loss: 0.8200, Train error: 0.2788, Test error: 0.2689
Epoch [260/1000], Loss: 0.7922, Train error: 0.2788, Test error: 0.2689
Epoch [261/1000], Loss: 0.7740, Train error: 0.2789, Test error: 0.2689
Epoch [262/1000], Loss: 0.8315, Train error: 0.2789, Test error: 0.2689
Epoch [263/1000], Loss: 0.8311, Train error: 0.2789, Test error: 0.2689
Epoch [264/1000], Loss: 0.8008, Train error: 0.2789, Test error: 0.2689
Epoch [265/1000], Loss: 0.8006, Train error: 0.2789, Test error: 0.2689
Epoch [266/1000], Loss: 0.7999, Train error: 0.2790, Test error: 0.2689
Epoch [267/1000], Loss: 0.7960, Train error: 0.2790, Test error: 0.2689
Epoch [268/1000], Loss: 0.7655, Train error: 0.2790, Test error: 0.2689
Epoch [269/1000], Loss: 0.7772, Train error: 0.2791, Test error: 0.2689
Epoch [270/1000], Loss: 0.7758, Train error: 0.2791, Test error: 0.2691
Epoch [271/1000], Loss: 0.8154, Train error: 0.2791, Test error: 0.2691
Epoch [272/1000], Loss: 0.7723, Train error: 0.2790, Test error: 0.2691
Epoch [273/1000], Loss: 0.8325, Train error: 0.2790, Test error: 0.2691
Epoch [274/1000], Loss: 0.8093, Train error: 0.2790, Test error: 0.2691
Epoch [275/1000], Loss: 0.7603, Train error: 0.2790, Test error: 0.2691
Epoch [276/1000], Loss: 0.8108, Train error: 0.2791, Test error: 0.2691
Epoch [277/1000], Loss: 0.8035, Train error: 0.2792, Test error: 0.2693
Epoch [278/1000], Loss: 0.8062, Train error: 0.2793, Test error: 0.2693
Epoch [279/1000], Loss: 0.7883, Train error: 0.2793, Test error: 0.2695
Epoch [280/1000], Loss: 0.7744, Train error: 0.2793, Test error: 0.2695
Epoch [281/1000], Loss: 0.7701, Train error: 0.2793, Test error: 0.2695
Epoch [282/1000], Loss: 0.7671, Train error: 0.2792, Test error: 0.2695
Epoch [283/1000], Loss: 0.7773, Train error: 0.2792, Test error: 0.2695
Epoch [284/1000], Loss: 0.7734, Train error: 0.2792, Test error: 0.2695
Epoch [285/1000], Loss: 0.8027, Train error: 0.2792, Test error: 0.2695
Epoch [286/1000], Loss: 0.8278, Train error: 0.2793, Test error: 0.2695
Epoch [287/1000], Loss: 0.8421, Train error: 0.2793, Test error: 0.2695
Epoch [288/1000], Loss: 0.7877, Train error: 0.2793, Test error: 0.2695
Epoch [289/1000], Loss: 0.8192, Train error: 0.2793, Test error: 0.2695
Epoch [290/1000], Loss: 0.7743, Train error: 0.2793, Test error: 0.2695
Epoch [291/1000], Loss: 0.7695, Train error: 0.2793, Test error: 0.2695
Epoch [292/1000], Loss: 0.7874, Train error: 0.2793, Test error: 0.2693
Epoch [293/1000], Loss: 0.7841, Train error: 0.2793, Test error: 0.2693
Epoch [294/1000], Loss: 0.7910, Train error: 0.2793, Test error: 0.2693
Epoch [295/1000], Loss: 0.7583, Train error: 0.2793, Test error: 0.2693
Epoch [296/1000], Loss: 0.7863, Train error: 0.2793, Test error: 0.2693
Epoch [297/1000], Loss: 0.7925, Train error: 0.2793, Test error: 0.2693
Epoch [298/1000], Loss: 0.7955, Train error: 0.2793, Test error: 0.2693
Epoch [299/1000], Loss: 0.8042, Train error: 0.2793, Test error: 0.2693
Epoch [300/1000], Loss: 0.7938, Train error: 0.2794, Test error: 0.2693
Epoch [301/1000], Loss: 0.7584, Train error: 0.2793, Test error: 0.2693
Epoch [302/1000], Loss: 0.7746, Train error: 0.2792, Test error: 0.2693
Epoch [303/1000], Loss: 0.7513, Train error: 0.2792, Test error: 0.2693
Epoch [304/1000], Loss: 0.7787, Train error: 0.2792, Test error: 0.2693
Epoch [305/1000], Loss: 0.7248, Train error: 0.2793, Test error: 0.2693
Epoch [306/1000], Loss: 0.7435, Train error: 0.2793, Test error: 0.2693
Epoch [307/1000], Loss: 0.7996, Train error: 0.2793, Test error: 0.2693
Epoch [308/1000], Loss: 0.8052, Train error: 0.2793, Test error: 0.2693
Epoch [309/1000], Loss: 0.8030, Train error: 0.2793, Test error: 0.2693
Epoch [310/1000], Loss: 0.7587, Train error: 0.2793, Test error: 0.2691
Epoch [311/1000], Loss: 0.7908, Train error: 0.2793, Test error: 0.2691
Epoch [312/1000], Loss: 0.8182, Train error: 0.2793, Test error: 0.2691
Epoch [313/1000], Loss: 0.8210, Train error: 0.2793, Test error: 0.2691
Epoch [314/1000], Loss: 0.9052, Train error: 0.2794, Test error: 0.2693
Epoch [315/1000], Loss: 0.8171, Train error: 0.2794, Test error: 0.2693
Epoch [316/1000], Loss: 0.7555, Train error: 0.2794, Test error: 0.2693
Epoch [317/1000], Loss: 0.7963, Train error: 0.2795, Test error: 0.2693
Epoch [318/1000], Loss: 0.7763, Train error: 0.2795, Test error: 0.2693
Epoch [319/1000], Loss: 0.7681, Train error: 0.2795, Test error: 0.2693
Epoch [320/1000], Loss: 0.8085, Train error: 0.2794, Test error: 0.2693
Epoch [321/1000], Loss: 0.8074, Train error: 0.2795, Test error: 0.2693
Epoch [322/1000], Loss: 0.7544, Train error: 0.2795, Test error: 0.2693
Epoch [323/1000], Loss: 0.7444, Train error: 0.2795, Test error: 0.2693
Epoch [324/1000], Loss: 0.7375, Train error: 0.2796, Test error: 0.2695
Epoch [325/1000], Loss: 0.7203, Train error: 0.2796, Test error: 0.2697
Epoch [326/1000], Loss: 0.7426, Train error: 0.2795, Test error: 0.2697
Epoch [327/1000], Loss: 0.7864, Train error: 0.2795, Test error: 0.2697
Epoch [328/1000], Loss: 0.8433, Train error: 0.2796, Test error: 0.2699
Epoch [329/1000], Loss: 0.7989, Train error: 0.2796, Test error: 0.2699
Epoch [330/1000], Loss: 0.8026, Train error: 0.2796, Test error: 0.2701
Epoch [331/1000], Loss: 0.8252, Train error: 0.2796, Test error: 0.2701
Epoch [332/1000], Loss: 0.7638, Train error: 0.2796, Test error: 0.2701
Epoch [333/1000], Loss: 0.8528, Train error: 0.2795, Test error: 0.2701
Epoch [334/1000], Loss: 0.7737, Train error: 0.2795, Test error: 0.2701
Epoch [335/1000], Loss: 0.7616, Train error: 0.2795, Test error: 0.2701
Epoch [336/1000], Loss: 0.7794, Train error: 0.2795, Test error: 0.2701
Epoch [337/1000], Loss: 0.7777, Train error: 0.2795, Test error: 0.2701
Epoch [338/1000], Loss: 0.8261, Train error: 0.2795, Test error: 0.2701
Epoch [339/1000], Loss: 0.7905, Train error: 0.2794, Test error: 0.2701
Epoch [340/1000], Loss: 0.8231, Train error: 0.2795, Test error: 0.2701
Epoch [341/1000], Loss: 0.8040, Train error: 0.2796, Test error: 0.2701
Epoch [342/1000], Loss: 0.7873, Train error: 0.2796, Test error: 0.2701
