away_possession,home_possession,home_shots_on_goal,away_shots_on_goal,result
46,54,4.0,7.0,0
,,6.0,12.0,1
41,59,7.0,3.0,-1
,,0.0,10.0,1
51,49,8.0,1.0,1
,,10.0,4.0,-1
,,3.0,3.0,1
,,5.0,1.0,1
,,8.0,4.0,1
,,6.0,6.0,1
,,3.0,7.0,-1
41,59,2.0,2.0,-1
,,2.0,14.0,0
56,44,6.0,6.0,1
50,50,5.0,3.0,0
43,57,10.0,6.0,0
49,51,9.0,6.0,0
51,49,8.0,5.0,1
,,5.0,4.0,1
57,43,8.0,2.0,1
62,38,11.0,7.0,1
,,3.0,5.0,1
,,3.0,7.0,0
,,7.0,6.0,1
,,2.0,11.0,-1
52,48,6.0,3.0,0
,,6.0,3.0,0
,,8.0,4.0,1
,,2.0,7.0,0
50,50,4.0,7.0,-1
,,4.0,4.0,1
53,47,7.0,4.0,0
,,2.0,8.0,1
52,48,9.0,0.0,1
,,14.0,4.0,0
,,6.0,11.0,1
46,54,12.0,3.0,-1
,,5.0,3.0,1
55,45,6.0,8.0,1
51,49,5.0,8.0,1
58,42,24.0,1.0,-1
55,45,4.0,1.0,0
46,54,5.0,4.0,-1
51,49,11.0,1.0,0
41,59,2.0,11.0,1
43,57,9.0,9.0,-1
,,6.0,6.0,1
,,8.0,1.0,1
,,6.0,5.0,1
63,37,16.0,6.0,-1
,,16.0,2.0,0
55,45,9.0,3.0,-1
56,44,4.0,5.0,-1
48,52,8.0,7.0,-1
,,10.0,5.0,-1
45,55,6.0,10.0,1
52,48,4.0,8.0,1
,,21.0,2.0,1
52,48,6.0,5.0,-1
61,39,5.0,3.0,0
,,8.0,2.0,1
,,3.0,7.0,1
,,10.0,10.0,0
58,42,6.0,5.0,1
49,51,3.0,4.0,1
,,12.0,6.0,-1
,,10.0,3.0,-1
55,45,7.0,2.0,-1
55,45,11.0,2.0,-1
,,9.0,8.0,1
,,4.0,4.0,0
,,5.0,4.0,1
,,2.0,5.0,0
,,8.0,1.0,-1
52,48,11.0,2.0,-1
,,5.0,7.0,0
,,7.0,5.0,1
56,44,10.0,6.0,1
51,49,6.0,4.0,1
,,7.0,5.0,1
,,4.0,7.0,1
,,9.0,8.0,1
,,1.0,10.0,-1
47,53,8.0,1.0,-1
38,62,3.0,6.0,1
,,3.0,4.0,-1
,,8.0,6.0,0
,,7.0,0.0,1
,,10.0,2.0,0
47,53,2.0,9.0,1
,,5.0,4.0,0
61,39,11.0,5.0,-1
57,43,5.0,5.0,-1
,,14.0,6.0,1
54,46,4.0,5.0,1
52,48,4.0,4.0,1
,,5.0,6.0,1
52,48,14.0,4.0,0
51,49,6.0,2.0,0
,,10.0,3.0,0
,,5.0,10.0,-1
55,45,10.0,5.0,1
48,52,9.0,4.0,0
55,45,9.0,0.0,1
,,4.0,5.0,1
40,60,3.0,5.0,0
59,41,8.0,4.0,1
57,43,4.0,2.0,1
58,42,12.0,1.0,1
45,55,7.0,10.0,1
58,42,5.0,4.0,0
61,39,5.0,7.0,0
,,5.0,7.0,-1
,,9.0,14.0,1
,,8.0,2.0,1
38,62,7.0,8.0,-1
46,54,9.0,5.0,-1
,,11.0,5.0,1
55,45,5.0,6.0,1
37,63,3.0,12.0,-1
50,50,7.0,8.0,0
51,49,6.0,5.0,1
40,60,7.0,4.0,0
48,52,10.0,7.0,-1
,,9.0,2.0,1
,,13.0,3.0,-1
,,13.0,2.0,1
,,8.0,5.0,1
,,8.0,2.0,-1
,,5.0,8.0,0
,,12.0,6.0,1
,,9.0,5.0,0
,,8.0,7.0,1
,,4.0,5.0,1
48,52,4.0,6.0,1
58,42,4.0,5.0,1
52,48,5.0,3.0,-1
52,48,3.0,8.0,1
56,44,8.0,1.0,1
54,46,9.0,6.0,0
52,48,8.0,4.0,-1
43,57,2.0,7.0,0
,,4.0,8.0,0
52,48,4.0,6.0,1
,,2.0,3.0,1
,,11.0,4.0,0
,,4.0,3.0,0
,,8.0,8.0,0
53,47,10.0,10.0,1
61,39,8.0,1.0,1
58,42,9.0,7.0,1
43,57,5.0,9.0,0
49,51,4.0,3.0,0
60,40,4.0,1.0,1
,,3.0,14.0,0
40,60,5.0,7.0,-1
53,47,6.0,4.0,1
60,40,9.0,5.0,0
,,7.0,6.0,1
,,6.0,5.0,1
60,40,8.0,7.0,-1
44,56,3.0,4.0,1
,,5.0,10.0,0
52,48,8.0,6.0,1
,,6.0,4.0,-1
,,7.0,6.0,1
42,58,5.0,11.0,-1
,,7.0,3.0,1
56,44,9.0,6.0,1
43,57,6.0,7.0,1
,,10.0,7.0,-1
,,7.0,15.0,1
42,58,2.0,10.0,0
41,59,12.0,9.0,-1
54,46,9.0,3.0,0
,,9.0,6.0,0
64,36,8.0,4.0,1
,,9.0,6.0,1
46,54,3.0,5.0,-1
,,18.0,7.0,0
52,48,8.0,5.0,-1
,,9.0,5.0,1
55,45,6.0,5.0,0
,,1.0,9.0,0
42,58,1.0,9.0,1
