Loading data...
Dataset size: 25979, Train DL size: 20784, Test DL size: 5195
Finished loading data!
Training model...
Epoch [121/1000], Loss: 1.0273, Train error: 0.5427, Test error: 0.5367
Epoch [122/1000], Loss: 1.0534, Train error: 0.5427, Test error: 0.5367
Epoch [123/1000], Loss: 1.0535, Train error: 0.5427, Test error: 0.5367
Epoch [124/1000], Loss: 1.0336, Train error: 0.5427, Test error: 0.5367
Epoch [125/1000], Loss: 1.0439, Train error: 0.5427, Test error: 0.5367
Epoch [126/1000], Loss: 1.0169, Train error: 0.5427, Test error: 0.5367
Epoch [127/1000], Loss: 1.1277, Train error: 0.5427, Test error: 0.5367
Epoch [128/1000], Loss: 1.1301, Train error: 0.5427, Test error: 0.5367
Epoch [129/1000], Loss: 1.0019, Train error: 0.5427, Test error: 0.5367
Epoch [130/1000], Loss: 1.0050, Train error: 0.5427, Test error: 0.5367
Epoch [131/1000], Loss: 1.0610, Train error: 0.5427, Test error: 0.5367
Epoch [132/1000], Loss: 1.0842, Train error: 0.5427, Test error: 0.5367
Epoch [133/1000], Loss: 1.0820, Train error: 0.5427, Test error: 0.5367
Epoch [134/1000], Loss: 1.0101, Train error: 0.5427, Test error: 0.5367
Epoch [135/1000], Loss: 1.0831, Train error: 0.5427, Test error: 0.5367
Epoch [136/1000], Loss: 1.0428, Train error: 0.5427, Test error: 0.5367
Epoch [137/1000], Loss: 1.0202, Train error: 0.5427, Test error: 0.5367
Epoch [138/1000], Loss: 1.0223, Train error: 0.5427, Test error: 0.5367
Epoch [139/1000], Loss: 0.9934, Train error: 0.5427, Test error: 0.5367
Epoch [140/1000], Loss: 1.0906, Train error: 0.5427, Test error: 0.5367
Epoch [141/1000], Loss: 1.0877, Train error: 0.5427, Test error: 0.5367
Epoch [142/1000], Loss: 1.0779, Train error: 0.5427, Test error: 0.5367
Epoch [143/1000], Loss: 1.0170, Train error: 0.5427, Test error: 0.5367
Epoch [144/1000], Loss: 1.0701, Train error: 0.5427, Test error: 0.5367
Epoch [145/1000], Loss: 0.9758, Train error: 0.5427, Test error: 0.5367
Epoch [146/1000], Loss: 1.0850, Train error: 0.5427, Test error: 0.5367
Epoch [147/1000], Loss: 1.0558, Train error: 0.5427, Test error: 0.5367
Epoch [148/1000], Loss: 1.0037, Train error: 0.5427, Test error: 0.5367
Epoch [149/1000], Loss: 1.0523, Train error: 0.5427, Test error: 0.5367
Epoch [150/1000], Loss: 1.0540, Train error: 0.5427, Test error: 0.5367
Epoch [151/1000], Loss: 1.0708, Train error: 0.5427, Test error: 0.5367
Epoch [152/1000], Loss: 1.0411, Train error: 0.5427, Test error: 0.5367
Epoch [153/1000], Loss: 1.0390, Train error: 0.5427, Test error: 0.5367
Epoch [154/1000], Loss: 1.0466, Train error: 0.5427, Test error: 0.5367
Epoch [155/1000], Loss: 0.9721, Train error: 0.5427, Test error: 0.5367
Epoch [156/1000], Loss: 1.0970, Train error: 0.5427, Test error: 0.5367
Epoch [157/1000], Loss: 1.1023, Train error: 0.5427, Test error: 0.5367
Epoch [158/1000], Loss: 1.1004, Train error: 0.5427, Test error: 0.5367
Epoch [159/1000], Loss: 1.1139, Train error: 0.5427, Test error: 0.5367
Epoch [160/1000], Loss: 1.0553, Train error: 0.5427, Test error: 0.5367
Epoch [161/1000], Loss: 1.0309, Train error: 0.5427, Test error: 0.5367
Epoch [162/1000], Loss: 1.0362, Train error: 0.5427, Test error: 0.5367
Epoch [163/1000], Loss: 1.0625, Train error: 0.5427, Test error: 0.5367
Epoch [164/1000], Loss: 1.0563, Train error: 0.5427, Test error: 0.5367
Epoch [165/1000], Loss: 1.1272, Train error: 0.5427, Test error: 0.5367
Epoch [166/1000], Loss: 1.0568, Train error: 0.5427, Test error: 0.5367
Epoch [167/1000], Loss: 1.1178, Train error: 0.5427, Test error: 0.5367
Epoch [168/1000], Loss: 1.0455, Train error: 0.5427, Test error: 0.5367
Epoch [169/1000], Loss: 1.0273, Train error: 0.5427, Test error: 0.5367
Epoch [170/1000], Loss: 1.0264, Train error: 0.5427, Test error: 0.5367
Epoch [171/1000], Loss: 1.0831, Train error: 0.5427, Test error: 0.5367
Epoch [172/1000], Loss: 1.0536, Train error: 0.5427, Test error: 0.5367
Epoch [173/1000], Loss: 1.0406, Train error: 0.5427, Test error: 0.5367
Epoch [174/1000], Loss: 1.0167, Train error: 0.5427, Test error: 0.5367
Epoch [175/1000], Loss: 1.0123, Train error: 0.5427, Test error: 0.5367
Epoch [176/1000], Loss: 1.0618, Train error: 0.5427, Test error: 0.5367
Epoch [177/1000], Loss: 1.1472, Train error: 0.5427, Test error: 0.5367
Epoch [178/1000], Loss: 1.0504, Train error: 0.5427, Test error: 0.5367
Epoch [179/1000], Loss: 1.0828, Train error: 0.5427, Test error: 0.5367
Epoch [180/1000], Loss: 1.0566, Train error: 0.5427, Test error: 0.5367
Epoch [181/1000], Loss: 1.1027, Train error: 0.5427, Test error: 0.5367
Epoch [182/1000], Loss: 1.0579, Train error: 0.5427, Test error: 0.5367
Epoch [183/1000], Loss: 1.0509, Train error: 0.5427, Test error: 0.5367
Epoch [184/1000], Loss: 1.1307, Train error: 0.5427, Test error: 0.5367
Epoch [185/1000], Loss: 0.9697, Train error: 0.5427, Test error: 0.5367
Epoch [186/1000], Loss: 1.1218, Train error: 0.5427, Test error: 0.5367
Epoch [187/1000], Loss: 1.0167, Train error: 0.5427, Test error: 0.5367
Epoch [188/1000], Loss: 1.1083, Train error: 0.5427, Test error: 0.5367
Epoch [189/1000], Loss: 1.0344, Train error: 0.5427, Test error: 0.5367
Epoch [190/1000], Loss: 0.9794, Train error: 0.5427, Test error: 0.5367
Epoch [191/1000], Loss: 1.0707, Train error: 0.5427, Test error: 0.5367
Epoch [192/1000], Loss: 1.0227, Train error: 0.5427, Test error: 0.5367
Epoch [193/1000], Loss: 1.0762, Train error: 0.5427, Test error: 0.5367
Epoch [194/1000], Loss: 1.0238, Train error: 0.5427, Test error: 0.5367
Epoch [195/1000], Loss: 1.0793, Train error: 0.5427, Test error: 0.5367
Epoch [196/1000], Loss: 1.0041, Train error: 0.5427, Test error: 0.5367
Epoch [197/1000], Loss: 0.9970, Train error: 0.5427, Test error: 0.5367
